time;raw;attention;meditation;delta;theta;low-alpha;high-alpha;low-beta;high-beta;low-gamma;mid-gamma
1,69935E+12;-2048;0;0;199026;125270;69112;104720;13717;556654;290886;100944
1,69935E+12;-2048;0;0;2246518;419291;79572;176562;90617;180834;56808;64609
1,69935E+12;-2048;0;0;29405;43181;2053;3365;14512;7559;3566;4024
1,69935E+12;-2048;0;0;331012;55098;11352;28200;12293;37719;36445;54899
1,69935E+12;2047;0;0;389998;266968;53224;16968;35671;400601;511735;93531
1,69935E+12;-2048;0;0;1009658;150947;25518;38227;47249;208021;315534;193228
1,69935E+12;2047;0;0;27718;51883;1019;9398;6091;6313;3068;3086
1,69935E+12;2047;0;0;17207;91516;4448;7307;10349;5402;2756;5238
1,69935E+12;-2048;0;0;359423;294194;16826;73526;50324;290175;361817;77880
1,69935E+12;-375;0;0;657621;40004;8204;8089;23674;245164;33376;34200
1,69935E+12;2047;0;0;281414;234923;15266;23719;29162;28637;14849;16123
1,69935E+12;-2048;0;0;198895;244472;66342;29472;28341;16169;19579;18196
1,69935E+12;-2048;0;0;946677;127468;33145;50016;38184;260067;295929;89782
1,69935E+12;-2048;0;0;669299;57555;18497;80396;32629;159730;328309;141541
1,69935E+12;2047;0;0;1161229;360140;30126;194076;105500;129091;120095;113432
1,69935E+12;2047;0;0;143334;399360;36687;7358;65956;32390;24634;14133
1,69935E+12;2047;0;0;917694;65692;15920;52357;53001;399702;287487;83155
1,69935E+12;-845;0;0;474644;69447;28958;28341;50167;401445;356260;169247
1,69935E+12;2047;0;0;1993772;252014;56799;242686;117118;271410;95247;59480
1,69935E+12;-2048;0;0;32264;91872;7073;7520;20213;6872;5981;7665
1,69935E+12;-2048;0;0;932389;110090;6630;60816;41631;356295;216803;84118
1,69935E+12;-2048;0;0;41182;16256;8449;12745;17679;110158;62658;22144
1,69935E+12;-2048;0;0;232944;47857;49397;25782;40372;45500;35580;12899
1,69935E+12;-1827;0;0;16544;26229;1635;4545;17061;5800;5035;2778
1,69935E+12;219;0;0;1221548;158532;27107;57023;52848;304589;294540;97028
1,69935E+12;2047;0;0;278401;405307;110843;119507;27452;193379;491408;30372
1,69935E+12;2047;0;0;1200149;907042;4765;165371;74256;124113;99610;88564
1,69935E+12;2047;0;0;181978;370383;29576;18580;21865;40977;24410;18349
1,69935E+12;-2048;0;0;234287;184661;25077;20953;43883;373164;595842;124281
1,69935E+12;-2048;0;0;92866;13757;5296;14908;21327;81588;97926;19308
1,69935E+12;-2048;0;0;19217;59049;5259;4687;17829;8286;2868;3735
1,69935E+12;-2048;0;0;17845;24540;1703;3845;18562;5326;4885;3242
